mobile,review_rating,Brand_x,Model_x,Brand_y,Model_y
https://gadgets.ndtv.com/alcatel-idol-4s-3307,5.309523809523809,Alcatel,Idol 4S,Alcatel,Idol 4S
https://gadgets.ndtv.com/alcatel-idol-4-3306,4.573941016507009,Alcatel,Idol 4,Alcatel,Idol 4
https://gadgets.ndtv.com/iphone-12-pro-price-in-india-97687,4.608095238095238,Apple,iPhone 12 Pro,Apple,iPhone 12 Pro
https://gadgets.ndtv.com/iphone-12-pro-max-price-in-india-97686,0.0,Apple,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max
https://gadgets.ndtv.com/iphone-12-mini-price-in-india-97685,0.0,Apple,iPhone 12 mini,Apple,iPhone 12 mini
https://gadgets.ndtv.com/iphone-12-price-in-india-97670,5.523809523809524,Apple,iPhone 12,Apple,iPhone 12
https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,4.420066204964999,Apple,iPhone SE (2020),Apple,iPhone SE (2020)
https://gadgets.ndtv.com/apple-iphone-11-pro-price-in-india-91112,4.6296876885740526,Apple,iPhone 11 Pro,Apple,iPhone 11 Pro
https://gadgets.ndtv.com/apple-iphone-11-pro-max-price-in-india-91111,4.346002685586018,Apple,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max
https://gadgets.ndtv.com/apple-iphone-11-price-in-india-91110,4.525044021805999,,,,
https://gadgets.ndtv.com/apple-iphone-xr-5647,5.5710101053080106,Apple,iPhone XR,Apple,iPhone XR
https://gadgets.ndtv.com/apple-iphone-xs-max-5646,4.338574935866602,Apple,iPhone XS Max,Apple,iPhone XS Max
https://gadgets.ndtv.com/apple-iphone-xs-5645,5.1794187109187115,Apple,iPhone XS,Apple,iPhone XS
https://gadgets.ndtv.com/apple-iphone-8-4260,4.8040910215829555,Apple,iPhone 8,Apple,iPhone 8
https://gadgets.ndtv.com/apple-iphone-8-plus-4259,5.217196373220566,Apple,iPhone 8 Plus,Apple,iPhone 8 Plus
https://gadgets.ndtv.com/apple-iphone-x-4258,4.634893149674399,,,,
https://gadgets.ndtv.com/apple-iphone-7-plus-3767,5.613697791406124,Apple,iPhone 7 Plus,Apple,iPhone 7 Plus
https://gadgets.ndtv.com/apple-iphone-7-3766,4.672555976809122,Apple,iPhone 7,Apple,iPhone 7
https://gadgets.ndtv.com/apple-iphone-se-3393,4.203202807994474,,,,
https://gadgets.ndtv.com/apple-iphone-6s-plus-2955,4.971605339105338,Apple,iPhone 6s Plus,Apple,iPhone 6s Plus
https://gadgets.ndtv.com/apple-iphone-6s-2952,4.292015469917812,Apple,iPhone 6s,Apple,iPhone 6s
https://gadgets.ndtv.com/apple-iphone-6-plus-1974,5.567042747761498,Apple,iPhone 6 Plus,Apple,iPhone 6 Plus
https://gadgets.ndtv.com/apple-iphone-6-1973,5.454522306397306,Apple,iPhone 6,Apple,iPhone 6
https://gadgets.ndtv.com/apple-iphone-5s-1028,3.12248387419225,Apple,iPhone 5s,Apple,iPhone 5s
https://gadgets.ndtv.com/apple-iphone-5c-1027,3.833002420337947,Apple,iPhone 5c,Apple,iPhone 5c
https://gadgets.ndtv.com/apple-iphone-5-771,2.3898899848316675,Apple,iPhone 5,Apple,iPhone 5
https://gadgets.ndtv.com/apple-iphone-4s-768,3.86684725006398,Apple,iPhone 4S,Apple,iPhone 4S
https://gadgets.ndtv.com/apple-iphone-4-765,3.6359310026057194,Apple,iPhone 4,Apple,iPhone 4
https://gadgets.ndtv.com/apple-iphone-3gs-763,0.0,Apple,iPhone 3GS,Apple,iPhone 3GS
https://gadgets.ndtv.com/apple-iphone-3g-762,0.0,Apple,iPhone 3G,Apple,iPhone 3G
https://gadgets.ndtv.com/apple-iphone-761,0.0,Apple,iPhone,Apple,iPhone
https://gadgets.ndtv.com/archos-sense-47x-4364,0.0,Archos,Sense 47X,Archos,Sense 47X
https://gadgets.ndtv.com/archos-core-50-4363,0.0,Archos,Core 50,Archos,Core 50
https://gadgets.ndtv.com/archos-access-5-5-4362,0.0,Archos,Access 5.5,Archos,Access 5.5
https://gadgets.ndtv.com/archos-access-5-4361,0.0,Archos,Access 5,Archos,Access 5
https://gadgets.ndtv.com/archos-access-4-5-4360,0.0,Archos,Access 4.5,Archos,Access 4.5
https://gadgets.ndtv.com/archos-access-4-4359,0.0,Archos,Access 4,Archos,Access 4
https://gadgets.ndtv.com/archos-diamond-alpha-4365,0.0,Archos,Diamond Alpha+,Archos,Diamond Alpha+
https://gadgets.ndtv.com/archos-sense-50x-4220,0.0,Archos,Sense 50x,Archos,Sense 50x
https://gadgets.ndtv.com/archos-sense-55s-4219,0.0,Archos,Sense 55s,Archos,Sense 55s
https://gadgets.ndtv.com/archos-diaomond-gamma-4218,0.0,Archos,Diaomond Gamma,Archos,Diaomond Gamma
https://gadgets.ndtv.com/archos-diamond-alpha-4217,0.0,Archos,Diamond Alpha,Archos,Diamond Alpha
https://gadgets.ndtv.com/archos-55-graphite-4022,0.0,Archos,55 Graphite,Archos,55 Graphite
https://gadgets.ndtv.com/archos-50-graphite-4021,0.0,Archos,50 Graphite,Archos,50 Graphite
